SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
lightguide100stretch,1-Stretch,0.000,70.008,0,-0.090
lightguide100stretch,1-Hold,0.100,70.351,0.343,-0.034
lightguide100stretch,2-Stretch,0.200,70.361,0.353,0.077
lightguide100stretch,2-Hold,0.300,70.702,0.694,-0.090
lightguide100stretch,3-Stretch,0.400,70.712,0.704,-0.034
lightguide100stretch,3-Hold,0.500,71.053,1.045,-0.034
lightguide100stretch,4-Stretch,0.600,71.064,1.056,-0.034
lightguide100stretch,4-Hold,0.700,71.404,1.396,-0.090
lightguide100stretch,5-Stretch,0.800,71.415,1.407,0.077
lightguide100stretch,5-Hold,0.900,71.755,1.747,-0.090
lightguide100stretch,6-Stretch,1.000,71.766,1.758,-0.034
lightguide100stretch,6-Hold,1.100,72.106,2.098,0.022
lightguide100stretch,7-Stretch,1.200,72.117,2.109,0.022
lightguide100stretch,7-Hold,1.300,72.457,2.449,-0.034
lightguide100stretch,8-Stretch,1.400,72.468,2.46,0.077
lightguide100stretch,8-Hold,1.500,72.809,2.801,0.077
lightguide100stretch,9-Stretch,1.600,72.819,2.811,0.077
lightguide100stretch,9-Hold,1.700,73.16,3.152,0.077
lightguide100stretch,10-Stretch,1.800,73.17,3.162,0.189
lightguide100stretch,10-Hold,1.900,73.511,3.503,0.077
lightguide100stretch,11-Stretch,2.000,73.521,3.513,0.133
lightguide100stretch,11-Hold,2.100,73.862,3.854,0.189
lightguide100stretch,12-Stretch,2.200,73.872,3.864,0.189
lightguide100stretch,12-Hold,2.300,74.213,4.205,0.189
lightguide100stretch,13-Stretch,2.400,74.224,4.216,0.300
lightguide100stretch,13-Hold,2.500,74.564,4.556,0.189
lightguide100stretch,14-Stretch,2.600,74.575,4.567,0.300
lightguide100stretch,14-Hold,2.700,74.915,4.907,0.300
lightguide100stretch,15-Stretch,2.800,74.926,4.918,0.356
lightguide100stretch,15-Hold,2.900,75.266,5.258,0.300
lightguide100stretch,16-Stretch,3.000,75.277,5.269,0.356
lightguide100stretch,16-Hold,3.100,75.618,5.61,0.300
lightguide100stretch,17-Stretch,3.200,75.628,5.62,0.356
lightguide100stretch,17-Hold,3.300,75.969,5.961,0.356
lightguide100stretch,18-Stretch,3.400,75.979,5.971,0.356
lightguide100stretch,18-Hold,3.500,76.32,6.312,0.356
lightguide100stretch,19-Stretch,3.600,76.33,6.322,0.411
lightguide100stretch,19-Hold,3.700,76.671,6.663,0.356
lightguide100stretch,20-Stretch,3.800,76.681,6.673,0.523
lightguide100stretch,20-Hold,3.900,77.022,7.014,0.467
lightguide100stretch,21-Stretch,4.000,77.033,7.025,0.467
lightguide100stretch,21-Hold,4.100,77.373,7.365,0.467
