SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
lightguide100stretch,1-Stretch,0.000,70.008,0,0.411
lightguide100stretch,1-Hold,0.100,70.351,0.343,0.467
lightguide100stretch,2-Stretch,0.200,70.359,0.351,0.411
lightguide100stretch,2-Hold,0.300,70.702,0.694,0.523
lightguide100stretch,3-Stretch,0.400,70.71,0.702,0.523
lightguide100stretch,3-Hold,0.500,71.053,1.045,0.523
lightguide100stretch,4-Stretch,0.600,71.061,1.053,0.634
lightguide100stretch,4-Hold,0.700,71.404,1.396,0.634
lightguide100stretch,5-Stretch,0.800,71.412,1.404,0.578
lightguide100stretch,5-Hold,0.900,71.755,1.747,0.634
lightguide100stretch,6-Stretch,1.000,71.763,1.755,0.690
lightguide100stretch,6-Hold,1.100,72.106,2.098,0.690
lightguide100stretch,7-Stretch,1.200,72.114,2.106,0.745
lightguide100stretch,7-Hold,1.300,72.457,2.449,0.745
lightguide100stretch,8-Stretch,1.400,72.465,2.457,0.634
lightguide100stretch,8-Hold,1.500,72.809,2.801,0.745
lightguide100stretch,9-Stretch,1.600,72.816,2.808,0.857
lightguide100stretch,9-Hold,1.700,73.16,3.152,0.801
lightguide100stretch,10-Stretch,1.800,73.168,3.16,0.857
lightguide100stretch,10-Hold,1.900,73.511,3.503,0.857
lightguide100stretch,11-Stretch,2.000,73.519,3.511,0.857
lightguide100stretch,11-Hold,2.100,73.862,3.854,0.912
lightguide100stretch,12-Stretch,2.200,73.87,3.862,0.968
lightguide100stretch,12-Hold,2.300,74.213,4.205,0.912
lightguide100stretch,13-Stretch,2.400,74.221,4.213,0.968
lightguide100stretch,13-Hold,2.500,74.564,4.556,0.968
lightguide100stretch,14-Stretch,2.600,74.572,4.564,0.801
lightguide100stretch,14-Hold,2.700,74.915,4.907,1.024
lightguide100stretch,15-Stretch,2.800,74.923,4.915,1.079
lightguide100stretch,15-Hold,2.900,75.266,5.258,1.024
lightguide100stretch,16-Stretch,3.000,75.274,5.266,1.079
lightguide100stretch,16-Hold,3.100,75.618,5.61,1.079
lightguide100stretch,17-Stretch,3.200,75.625,5.617,1.079
lightguide100stretch,17-Hold,3.300,75.969,5.961,1.135
lightguide100stretch,18-Stretch,3.400,75.977,5.969,1.135
lightguide100stretch,18-Hold,3.500,76.32,6.312,1.135
lightguide100stretch,19-Stretch,3.600,76.328,6.32,1.191
lightguide100stretch,19-Hold,3.700,76.671,6.663,1.191
lightguide100stretch,20-Stretch,3.800,76.679,6.671,1.191
lightguide100stretch,20-Hold,3.900,77.022,7.014,1.246
lightguide100stretch,21-Stretch,4.000,77.03,7.022,1.246
lightguide100stretch,21-Hold,4.100,77.373,7.365,1.191
lightguide100stretch,22-Stretch,4.200,77.381,7.373,1.302
lightguide100stretch,22-Hold,4.300,77.724,7.716,1.302
lightguide100stretch,23-Stretch,4.400,77.732,7.724,1.358
lightguide100stretch,23-Hold,4.500,78.075,8.067,1.302
