SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
lightguide100stretch,1-Stretch,0.000,70.013,0,0.300
lightguide100stretch,1-Hold,0.100,70.351,0.338,0.300
lightguide100stretch,2-Stretch,0.200,70.367,0.354,0.356
lightguide100stretch,2-Hold,0.300,70.702,0.689,0.356
lightguide100stretch,3-Stretch,0.400,70.718,0.705,0.411
lightguide100stretch,3-Hold,0.500,71.053,1.04,0.300
lightguide100stretch,4-Stretch,0.600,71.069,1.056,0.411
lightguide100stretch,4-Hold,0.700,71.404,1.391,0.411
lightguide100stretch,5-Stretch,0.800,71.42,1.407,0.467
lightguide100stretch,5-Hold,0.900,71.755,1.742,0.467
lightguide100stretch,6-Stretch,1.000,71.771,1.758,0.578
lightguide100stretch,6-Hold,1.100,72.106,2.093,0.467
lightguide100stretch,7-Stretch,1.200,72.122,2.109,0.578
lightguide100stretch,7-Hold,1.300,72.457,2.444,0.523
lightguide100stretch,8-Stretch,1.400,72.473,2.46,0.578
lightguide100stretch,8-Hold,1.500,72.809,2.796,0.523
lightguide100stretch,9-Stretch,1.600,72.824,2.811,0.634
lightguide100stretch,9-Hold,1.700,73.16,3.147,0.523
lightguide100stretch,10-Stretch,1.800,73.176,3.163,0.634
lightguide100stretch,10-Hold,1.900,73.511,3.498,0.634
lightguide100stretch,11-Stretch,2.000,73.527,3.514,0.690
lightguide100stretch,11-Hold,2.100,73.862,3.849,0.634
lightguide100stretch,12-Stretch,2.200,73.878,3.865,0.745
lightguide100stretch,12-Hold,2.300,74.213,4.2,0.634
lightguide100stretch,13-Stretch,2.400,74.229,4.216,0.745
lightguide100stretch,13-Hold,2.500,74.564,4.551,0.745
lightguide100stretch,14-Stretch,2.600,74.58,4.567,0.912
lightguide100stretch,14-Hold,2.700,74.915,4.902,0.690
lightguide100stretch,15-Stretch,2.800,74.931,4.918,0.801
lightguide100stretch,15-Hold,2.900,75.266,5.253,0.690
lightguide100stretch,16-Stretch,3.000,75.282,5.269,0.801
lightguide100stretch,16-Hold,3.100,75.618,5.605,0.801
lightguide100stretch,17-Stretch,3.200,75.633,5.62,0.857
lightguide100stretch,17-Hold,3.300,75.969,5.956,0.801
lightguide100stretch,18-Stretch,3.400,75.984,5.971,0.912
lightguide100stretch,18-Hold,3.500,76.32,6.307,0.801
lightguide100stretch,19-Stretch,3.600,76.336,6.323,0.912
lightguide100stretch,19-Hold,3.700,76.671,6.658,0.912
lightguide100stretch,20-Stretch,3.800,76.687,6.674,0.912
lightguide100stretch,20-Hold,3.900,77.022,7.009,0.857
lightguide100stretch,21-Stretch,4.000,77.038,7.025,1.024
lightguide100stretch,21-Hold,4.100,77.373,7.36,0.857
lightguide100stretch,22-Stretch,4.200,77.389,7.376,0.968
lightguide100stretch,22-Hold,4.300,77.724,7.711,0.968
lightguide100stretch,23-Stretch,4.400,77.74,7.727,0.912
lightguide100stretch,23-Hold,4.500,78.075,8.062,0.912
lightguide100stretch,24-Stretch,4.600,78.091,8.078,1.079
