SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
lightguide100stretch,1-Stretch,0.000,70.002,0,0.244
lightguide100stretch,1-Hold,0.100,70.351,0.349,0.133
lightguide100stretch,2-Stretch,0.200,70.353,0.351,0.244
lightguide100stretch,2-Hold,0.300,70.702,0.7,0.244
lightguide100stretch,3-Stretch,0.400,70.704,0.702,0.300
lightguide100stretch,3-Hold,0.500,71.053,1.051,0.300
lightguide100stretch,4-Stretch,0.600,71.056,1.054,0.356
lightguide100stretch,4-Hold,0.700,71.404,1.402,0.300
lightguide100stretch,5-Stretch,0.800,71.407,1.405,0.356
lightguide100stretch,5-Hold,0.900,71.755,1.753,0.356
lightguide100stretch,6-Stretch,1.000,71.758,1.756,0.356
lightguide100stretch,6-Hold,1.100,72.106,2.104,0.356
lightguide100stretch,7-Stretch,1.200,72.109,2.107,0.467
lightguide100stretch,7-Hold,1.300,72.457,2.455,0.356
lightguide100stretch,8-Stretch,1.400,72.46,2.458,0.523
lightguide100stretch,8-Hold,1.500,72.809,2.807,0.411
lightguide100stretch,9-Stretch,1.600,72.811,2.809,0.523
lightguide100stretch,9-Hold,1.700,73.16,3.158,0.467
lightguide100stretch,10-Stretch,1.800,73.162,3.16,0.523
lightguide100stretch,10-Hold,1.900,73.511,3.509,0.467
lightguide100stretch,11-Stretch,2.000,73.513,3.511,0.578
lightguide100stretch,11-Hold,2.100,73.862,3.86,0.578
lightguide100stretch,12-Stretch,2.200,73.865,3.863,0.523
lightguide100stretch,12-Hold,2.300,74.213,4.211,0.578
lightguide100stretch,13-Stretch,2.400,74.216,4.214,0.690
lightguide100stretch,13-Hold,2.500,74.564,4.562,0.523
lightguide100stretch,14-Stretch,2.600,74.567,4.565,0.745
lightguide100stretch,14-Hold,2.700,74.915,4.913,0.634
lightguide100stretch,15-Stretch,2.800,74.918,4.916,0.634
lightguide100stretch,15-Hold,2.900,75.266,5.264,0.690
lightguide100stretch,16-Stretch,3.000,75.269,5.267,0.745
lightguide100stretch,16-Hold,3.100,75.618,5.616,0.634
lightguide100stretch,17-Stretch,3.200,75.62,5.618,0.801
lightguide100stretch,17-Hold,3.300,75.969,5.967,0.745
lightguide100stretch,18-Stretch,3.400,75.971,5.969,0.745
lightguide100stretch,18-Hold,3.500,76.32,6.318,0.745
lightguide100stretch,19-Stretch,3.600,76.322,6.32,0.801
lightguide100stretch,19-Hold,3.700,76.671,6.669,0.745
lightguide100stretch,20-Stretch,3.800,76.674,6.672,0.801
lightguide100stretch,20-Hold,3.900,77.022,7.02,0.801
lightguide100stretch,21-Stretch,4.000,77.025,7.023,0.801
lightguide100stretch,21-Hold,4.100,77.373,7.371,0.745
lightguide100stretch,22-Stretch,4.200,77.376,7.374,0.857
lightguide100stretch,22-Hold,4.300,77.724,7.722,0.745
lightguide100stretch,23-Stretch,4.400,77.727,7.725,0.857
lightguide100stretch,23-Hold,4.500,78.075,8.073,0.857
lightguide100stretch,24-Stretch,4.600,78.078,8.076,0.912
lightguide100stretch,24-Hold,4.700,78.426,8.424,0.857
lightguide100stretch,25-Stretch,4.800,78.429,8.427,0.968
lightguide100stretch,25-Hold,4.900,78.778,8.776,0.857
lightguide100stretch,26-Stretch,5.000,78.78,8.778,0.912
lightguide100stretch,26-Hold,5.100,79.129,9.127,0.912
lightguide100stretch,27-Stretch,5.200,79.131,9.129,0.968
lightguide100stretch,27-Hold,5.300,79.48,9.478,0.912
lightguide100stretch,28-Stretch,5.400,79.482,9.48,0.968
lightguide100stretch,28-Hold,5.500,79.831,9.829,0.968
lightguide100stretch,29-Stretch,5.600,79.834,9.832,1.024
