SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
lightguide100stretch,1-Preload,0.000,70,-0.018,0.133
lightguide100stretch,1-Stretch,0.010,70.018,0,0.189
lightguide100stretch,1-Hold,0.100,70.351,0.333,0.189
lightguide100stretch,1-Recover,0.200,70.351,0.333,0.189
lightguide100stretch,2-Stretch,0.210,70.372,0.354,0.077
lightguide100stretch,2-Hold,0.300,70.702,0.684,0.189
lightguide100stretch,2-Recover,0.400,70.702,0.684,0.244
lightguide100stretch,3-Stretch,0.410,70.723,0.705,0.189
lightguide100stretch,3-Hold,0.500,71.053,1.035,0.133
lightguide100stretch,3-Recover,0.600,71.053,1.035,0.300
lightguide100stretch,4-Stretch,0.610,71.074,1.056,0.300
lightguide100stretch,4-Hold,0.700,71.404,1.386,0.244
lightguide100stretch,4-Recover,0.800,71.404,1.386,0.300
lightguide100stretch,5-Stretch,0.810,71.425,1.407,0.244
lightguide100stretch,5-Hold,0.900,71.755,1.737,0.300
lightguide100stretch,5-Recover,1.000,71.755,1.737,0.356
lightguide100stretch,6-Stretch,1.010,71.776,1.758,0.356
lightguide100stretch,6-Hold,1.100,72.106,2.088,0.300
lightguide100stretch,6-Recover,1.200,72.106,2.088,0.467
lightguide100stretch,7-Stretch,1.210,72.127,2.109,0.300
lightguide100stretch,7-Hold,1.300,72.457,2.439,0.356
lightguide100stretch,7-Recover,1.400,72.457,2.439,0.356
lightguide100stretch,8-Stretch,1.410,72.479,2.461,0.356
lightguide100stretch,8-Hold,1.500,72.809,2.791,0.411
lightguide100stretch,8-Recover,1.600,72.809,2.791,0.523
lightguide100stretch,9-Stretch,1.610,72.83,2.812,0.467
lightguide100stretch,9-Hold,1.700,73.16,3.142,0.356
lightguide100stretch,9-Recover,1.800,73.16,3.142,0.523
lightguide100stretch,10-Stretch,1.810,73.181,3.163,0.411
lightguide100stretch,10-Hold,1.900,73.511,3.493,0.467
lightguide100stretch,10-Recover,2.000,73.511,3.493,0.523
lightguide100stretch,11-Stretch,2.010,73.532,3.514,0.467
lightguide100stretch,11-Hold,2.100,73.862,3.844,0.523
lightguide100stretch,11-Recover,2.200,73.862,3.844,0.578
lightguide100stretch,12-Stretch,2.210,73.883,3.865,0.523
lightguide100stretch,12-Hold,2.300,74.213,4.195,0.523
lightguide100stretch,12-Recover,2.400,74.213,4.195,0.578
lightguide100stretch,13-Stretch,2.410,74.234,4.216,0.523
lightguide100stretch,13-Hold,2.500,74.564,4.546,0.523
lightguide100stretch,13-Recover,2.600,74.564,4.546,0.690
lightguide100stretch,14-Stretch,2.610,74.585,4.567,0.467
lightguide100stretch,14-Hold,2.700,74.915,4.897,0.634
lightguide100stretch,14-Recover,2.800,74.915,4.897,0.690
lightguide100stretch,15-Stretch,2.810,74.936,4.918,0.634
lightguide100stretch,15-Hold,2.900,75.266,5.248,0.578
lightguide100stretch,15-Recover,3.000,75.266,5.248,0.690
lightguide100stretch,16-Stretch,3.010,75.288,5.27,0.634
lightguide100stretch,16-Hold,3.100,75.618,5.6,0.634
lightguide100stretch,16-Recover,3.200,75.618,5.6,0.690
lightguide100stretch,17-Stretch,3.210,75.639,5.621,0.634
lightguide100stretch,17-Hold,3.300,75.969,5.951,0.690
lightguide100stretch,17-Recover,3.400,75.969,5.951,0.801
lightguide100stretch,18-Stretch,3.410,75.99,5.972,0.634
lightguide100stretch,18-Hold,3.500,76.32,6.302,0.634
lightguide100stretch,18-Recover,3.600,76.32,6.302,0.801
lightguide100stretch,19-Stretch,3.610,76.341,6.323,0.745
lightguide100stretch,19-Hold,3.700,76.671,6.653,0.690
lightguide100stretch,19-Recover,3.800,76.671,6.653,0.801
lightguide100stretch,20-Stretch,3.810,76.692,6.674,0.634
lightguide100stretch,20-Hold,3.900,77.022,7.004,0.745
lightguide100stretch,20-Recover,4.000,77.022,7.004,0.801
lightguide100stretch,21-Stretch,4.010,77.043,7.025,0.745
lightguide100stretch,21-Hold,4.100,77.373,7.355,0.690
lightguide100stretch,21-Recover,4.200,77.373,7.355,0.857
lightguide100stretch,22-Stretch,4.210,77.394,7.376,0.801
lightguide100stretch,22-Hold,4.300,77.724,7.706,0.801
lightguide100stretch,22-Recover,4.400,77.724,7.706,0.857
lightguide100stretch,23-Stretch,4.410,77.745,7.727,0.801
lightguide100stretch,23-Hold,4.500,78.075,8.057,0.857
lightguide100stretch,23-Recover,4.600,78.075,8.057,0.857
lightguide100stretch,24-Stretch,4.610,78.096,8.078,0.857
lightguide100stretch,24-Hold,4.700,78.426,8.408,0.801
lightguide100stretch,24-Recover,4.800,78.426,8.408,0.968
lightguide100stretch,25-Stretch,4.810,78.448,8.43,0.857
lightguide100stretch,25-Hold,4.900,78.778,8.76,0.857
lightguide100stretch,25-Recover,5.000,78.778,8.76,0.912
lightguide100stretch,26-Stretch,5.010,78.799,8.781,0.745
lightguide100stretch,26-Hold,5.100,79.129,9.111,0.857
lightguide100stretch,26-Recover,5.200,79.129,9.111,1.191
lightguide100stretch,27-Stretch,5.210,79.15,9.132,0.745
lightguide100stretch,27-Hold,5.300,79.48,9.462,0.857
lightguide100stretch,27-Recover,5.400,79.48,9.462,1.024
lightguide100stretch,28-Stretch,5.410,79.501,9.483,0.968
lightguide100stretch,28-Hold,5.500,79.831,9.813,0.968
lightguide100stretch,28-Recover,5.600,79.831,9.813,0.968
lightguide100stretch,29-Stretch,5.610,79.852,9.834,0.912
lightguide100stretch,29-Hold,5.700,80.182,10.164,0.968
lightguide100stretch,29-Recover,5.800,80.182,10.164,1.079
lightguide100stretch,30-Stretch,5.810,80.203,10.185,1.024
lightguide100stretch,30-Hold,5.900,80.533,10.515,0.968
lightguide100stretch,30-Recover,6.000,80.533,10.515,1.079
lightguide100stretch,31-Stretch,6.010,80.554,10.536,1.024
lightguide100stretch,31-Hold,6.100,80.884,10.866,1.024
lightguide100stretch,31-Recover,6.200,80.884,10.866,1.024
lightguide100stretch,32-Stretch,6.210,80.905,10.887,0.968
lightguide100stretch,32-Hold,6.300,81.235,11.217,1.024
lightguide100stretch,32-Recover,6.400,81.235,11.217,1.191
lightguide100stretch,33-Stretch,6.410,81.257,11.239,1.024
lightguide100stretch,33-Hold,6.500,81.587,11.569,0.968
lightguide100stretch,33-Recover,6.600,81.587,11.569,1.135
lightguide100stretch,34-Stretch,6.610,81.608,11.59,1.079
lightguide100stretch,34-Hold,6.700,81.938,11.92,1.079
lightguide100stretch,34-Recover,6.800,81.938,11.92,1.135
lightguide100stretch,35-Stretch,6.810,81.959,11.941,1.079
lightguide100stretch,35-Hold,6.900,82.289,12.271,1.024
lightguide100stretch,35-Recover,7.000,82.289,12.271,1.191
lightguide100stretch,36-Stretch,7.010,82.31,12.292,1.135
lightguide100stretch,36-Hold,7.100,82.64,12.622,1.079
lightguide100stretch,36-Recover,7.200,82.64,12.622,1.191
lightguide100stretch,37-Stretch,7.210,82.661,12.643,1.135
lightguide100stretch,37-Hold,7.300,82.991,12.973,1.135
lightguide100stretch,37-Recover,7.400,82.991,12.973,1.191
lightguide100stretch,38-Stretch,7.410,83.012,12.994,1.135
lightguide100stretch,38-Hold,7.500,83.342,13.324,1.135
lightguide100stretch,38-Recover,7.600,83.342,13.324,1.302
lightguide100stretch,39-Stretch,7.610,83.363,13.345,1.135
lightguide100stretch,39-Hold,7.700,83.693,13.675,1.135
lightguide100stretch,39-Recover,7.800,83.693,13.675,1.246
lightguide100stretch,40-Stretch,7.810,83.714,13.696,1.191
lightguide100stretch,40-Hold,7.900,84.044,14.026,1.246
lightguide100stretch,40-Recover,8.000,84.044,14.026,1.246
lightguide100stretch,41-Stretch,8.010,84.066,14.048,1.191
lightguide100stretch,41-Hold,8.100,84.396,14.378,1.191
lightguide100stretch,41-Recover,8.200,84.396,14.378,1.358
lightguide100stretch,42-Stretch,8.210,84.417,14.399,1.191
lightguide100stretch,42-Hold,8.300,84.747,14.729,1.191
lightguide100stretch,42-Recover,8.400,84.747,14.729,1.302
lightguide100stretch,43-Stretch,8.410,84.768,14.75,1.246
lightguide100stretch,43-Hold,8.500,85.098,15.08,1.302
lightguide100stretch,43-Recover,8.600,85.098,15.08,1.302
lightguide100stretch,44-Stretch,8.610,85.119,15.101,1.246
lightguide100stretch,44-Hold,8.700,85.449,15.431,1.246
lightguide100stretch,44-Recover,8.800,85.449,15.431,1.358
lightguide100stretch,45-Stretch,8.810,85.47,15.452,1.246
lightguide100stretch,45-Hold,8.900,85.8,15.782,1.246
lightguide100stretch,45-Recover,9.000,85.8,15.782,1.413
lightguide100stretch,46-Stretch,9.010,85.821,15.803,1.246
lightguide100stretch,46-Hold,9.100,86.151,16.133,1.358
lightguide100stretch,46-Recover,9.200,86.151,16.133,1.358
lightguide100stretch,47-Stretch,9.210,86.172,16.154,1.302
lightguide100stretch,47-Hold,9.300,86.502,16.484,1.302
lightguide100stretch,47-Recover,9.400,86.502,16.484,1.413
lightguide100stretch,48-Stretch,9.410,86.523,16.505,1.358
lightguide100stretch,48-Hold,9.500,86.853,16.835,1.358
lightguide100stretch,48-Recover,9.600,86.853,16.835,1.413
lightguide100stretch,49-Stretch,9.610,86.874,16.856,1.358
lightguide100stretch,49-Hold,9.700,87.204,17.186,1.358
lightguide100stretch,49-Recover,9.800,87.204,17.186,1.469
lightguide100stretch,50-Stretch,9.810,87.226,17.208,1.302
lightguide100stretch,50-Hold,9.900,87.556,17.538,1.358
lightguide100stretch,50-Recover,10.000,87.556,17.538,1.525
lightguide100stretch,51-Stretch,10.010,87.577,17.559,1.413
lightguide100stretch,51-Hold,10.100,87.907,17.889,1.358
lightguide100stretch,51-Recover,10.200,87.907,17.889,1.525
lightguide100stretch,52-Stretch,10.210,87.928,17.91,1.358
lightguide100stretch,52-Hold,10.300,88.258,18.24,1.469
lightguide100stretch,52-Recover,10.400,88.258,18.24,1.469
lightguide100stretch,53-Stretch,10.410,88.279,18.261,1.358
lightguide100stretch,53-Hold,10.500,88.609,18.591,1.413
lightguide100stretch,53-Recover,10.600,88.609,18.591,1.525
lightguide100stretch,54-Stretch,10.610,88.63,18.612,1.525
lightguide100stretch,54-Hold,10.700,88.96,18.942,1.469
lightguide100stretch,54-Recover,10.800,88.96,18.942,1.525
lightguide100stretch,55-Stretch,10.810,88.981,18.963,1.469
lightguide100stretch,55-Hold,10.900,89.311,19.293,1.525
lightguide100stretch,55-Recover,11.000,89.311,19.293,1.525
lightguide100stretch,56-Stretch,11.010,89.332,19.314,1.469
lightguide100stretch,56-Hold,11.100,89.662,19.644,1.469
lightguide100stretch,56-Recover,11.200,89.662,19.644,1.580
lightguide100stretch,57-Stretch,11.210,89.683,19.665,1.580
lightguide100stretch,57-Hold,11.300,90.013,19.995,1.469
lightguide100stretch,57-Recover,11.400,90.013,19.995,1.580
lightguide100stretch,58-Stretch,11.410,90.035,20.017,1.469
lightguide100stretch,58-Hold,11.500,90.365,20.347,1.525
lightguide100stretch,58-Recover,11.600,90.365,20.347,1.747
lightguide100stretch,59-Stretch,11.610,90.386,20.368,1.469
lightguide100stretch,59-Hold,11.700,90.716,20.698,1.525
lightguide100stretch,59-Recover,11.800,90.716,20.698,1.692
lightguide100stretch,60-Stretch,11.810,90.737,20.719,1.636
lightguide100stretch,60-Hold,11.900,91.067,21.049,1.525
lightguide100stretch,60-Recover,12.000,91.067,21.049,1.636
lightguide100stretch,61-Stretch,12.010,91.088,21.07,1.525
lightguide100stretch,61-Hold,12.100,91.418,21.4,1.580
lightguide100stretch,61-Recover,12.200,91.418,21.4,1.636
lightguide100stretch,62-Stretch,12.210,91.439,21.421,1.636
lightguide100stretch,62-Hold,12.300,91.769,21.751,1.580
lightguide100stretch,62-Recover,12.400,91.769,21.751,1.692
lightguide100stretch,63-Stretch,12.410,91.79,21.772,1.636
lightguide100stretch,63-Hold,12.500,92.12,22.102,1.580
lightguide100stretch,63-Recover,12.600,92.12,22.102,1.692
lightguide100stretch,64-Stretch,12.610,92.141,22.123,1.636
lightguide100stretch,64-Hold,12.700,92.471,22.453,1.636
lightguide100stretch,64-Recover,12.800,92.471,22.453,1.803
lightguide100stretch,65-Stretch,12.810,92.492,22.474,1.580
lightguide100stretch,65-Hold,12.900,92.822,22.804,1.636
lightguide100stretch,65-Recover,13.000,92.822,22.804,1.803
lightguide100stretch,66-Stretch,13.010,92.844,22.826,1.692
lightguide100stretch,66-Hold,13.100,93.174,23.156,1.636
lightguide100stretch,66-Recover,13.200,93.174,23.156,1.747
lightguide100stretch,67-Stretch,13.210,93.195,23.177,1.692
lightguide100stretch,67-Hold,13.300,93.525,23.507,1.692
lightguide100stretch,67-Recover,13.400,93.525,23.507,1.747
lightguide100stretch,68-Stretch,13.410,93.546,23.528,1.747
lightguide100stretch,68-Hold,13.500,93.876,23.858,1.692
lightguide100stretch,68-Recover,13.600,93.876,23.858,1.803
lightguide100stretch,69-Stretch,13.610,93.897,23.879,1.747
lightguide100stretch,69-Hold,13.700,94.227,24.209,1.747
lightguide100stretch,69-Recover,13.800,94.227,24.209,1.803
lightguide100stretch,70-Stretch,13.810,94.248,24.23,1.747
lightguide100stretch,70-Hold,13.900,94.578,24.56,1.803
lightguide100stretch,70-Recover,14.000,94.578,24.56,1.859
lightguide100stretch,71-Stretch,14.010,94.599,24.581,1.747
lightguide100stretch,71-Hold,14.100,94.929,24.911,1.747
lightguide100stretch,71-Recover,14.200,94.929,24.911,1.859
lightguide100stretch,72-Stretch,14.210,94.95,24.932,1.803
lightguide100stretch,72-Hold,14.300,95.28,25.262,1.803
lightguide100stretch,72-Recover,14.400,95.28,25.262,1.859
lightguide100stretch,73-Stretch,14.410,95.301,25.283,1.859
lightguide100stretch,73-Hold,14.500,95.631,25.613,1.803
lightguide100stretch,73-Recover,14.600,95.631,25.613,1.914
lightguide100stretch,74-Stretch,14.610,95.652,25.634,1.747
lightguide100stretch,74-Hold,14.700,95.982,25.964,1.803
lightguide100stretch,74-Recover,14.800,95.982,25.964,1.970
lightguide100stretch,75-Stretch,14.810,96.004,25.986,1.914
lightguide100stretch,75-Hold,14.900,96.334,26.316,1.859
lightguide100stretch,75-Recover,15.000,96.334,26.316,1.914
lightguide100stretch,76-Stretch,15.010,96.355,26.337,1.859
lightguide100stretch,76-Hold,15.100,96.685,26.667,1.914
lightguide100stretch,76-Recover,15.200,96.685,26.667,1.970
lightguide100stretch,77-Stretch,15.210,96.706,26.688,1.859
lightguide100stretch,77-Hold,15.300,97.036,27.018,1.859
lightguide100stretch,77-Recover,15.400,97.036,27.018,2.137
lightguide100stretch,78-Stretch,15.410,97.057,27.039,1.859
lightguide100stretch,78-Hold,15.500,97.387,27.369,1.970
lightguide100stretch,78-Recover,15.600,97.387,27.369,2.026
lightguide100stretch,79-Stretch,15.610,97.408,27.39,1.970
lightguide100stretch,79-Hold,15.700,97.738,27.72,1.970
lightguide100stretch,79-Recover,15.800,97.738,27.72,2.026
lightguide100stretch,80-Stretch,15.810,97.759,27.741,1.970
lightguide100stretch,80-Hold,15.900,98.089,28.071,1.914
lightguide100stretch,80-Recover,16.000,98.089,28.071,2.081
lightguide100stretch,81-Stretch,16.010,98.11,28.092,2.081
lightguide100stretch,81-Hold,16.100,98.44,28.422,2.026
lightguide100stretch,81-Recover,16.200,98.44,28.422,2.081
lightguide100stretch,82-Stretch,16.210,98.461,28.443,1.970
lightguide100stretch,82-Hold,16.300,98.791,28.773,2.026
lightguide100stretch,82-Recover,16.400,98.791,28.773,2.137
lightguide100stretch,83-Stretch,16.410,98.813,28.795,2.081
lightguide100stretch,83-Hold,16.500,99.143,29.125,2.026
lightguide100stretch,83-Recover,16.600,99.143,29.125,2.248
lightguide100stretch,84-Stretch,16.610,99.164,29.146,2.081
lightguide100stretch,84-Hold,16.700,99.494,29.476,2.081
lightguide100stretch,84-Recover,16.800,99.494,29.476,2.137
lightguide100stretch,85-Stretch,16.810,99.515,29.497,2.026
lightguide100stretch,85-Hold,16.900,99.845,29.827,2.137
lightguide100stretch,85-Recover,17.000,99.845,29.827,2.193
lightguide100stretch,86-Stretch,17.010,99.866,29.848,2.193
lightguide100stretch,86-Hold,17.100,100.196,30.178,2.081
lightguide100stretch,86-Recover,17.200,100.196,30.178,2.248
lightguide100stretch,87-Stretch,17.210,100.217,30.199,2.193
lightguide100stretch,87-Hold,17.300,100.547,30.529,2.193
lightguide100stretch,87-Recover,17.400,100.547,30.529,2.193
lightguide100stretch,88-Stretch,17.410,100.568,30.55,2.137
lightguide100stretch,88-Hold,17.500,100.898,30.88,2.193
lightguide100stretch,88-Recover,17.600,100.898,30.88,2.304
lightguide100stretch,89-Stretch,17.610,100.919,30.901,2.248
lightguide100stretch,89-Hold,17.700,101.249,31.231,2.193
lightguide100stretch,89-Recover,17.800,101.249,31.231,2.360
lightguide100stretch,90-Stretch,17.810,101.27,31.252,2.193
lightguide100stretch,90-Hold,17.900,101.6,31.582,2.193
lightguide100stretch,90-Recover,18.000,101.6,31.582,2.415
lightguide100stretch,91-Stretch,18.010,101.622,31.604,2.026
lightguide100stretch,91-Hold,18.100,101.952,31.934,2.248
lightguide100stretch,91-Recover,18.200,101.952,31.934,2.360
lightguide100stretch,92-Stretch,18.210,101.973,31.955,2.304
lightguide100stretch,92-Hold,18.300,102.303,32.285,2.248
lightguide100stretch,92-Recover,18.400,102.303,32.285,2.415
lightguide100stretch,93-Stretch,18.410,102.324,32.306,2.304
lightguide100stretch,93-Hold,18.500,102.654,32.636,2.304
lightguide100stretch,93-Recover,18.600,102.654,32.636,2.360
lightguide100stretch,94-Stretch,18.610,102.675,32.657,2.304
lightguide100stretch,94-Hold,18.700,103.005,32.987,2.415
lightguide100stretch,94-Recover,18.800,103.005,32.987,2.415
lightguide100stretch,95-Stretch,18.810,103.026,33.008,2.415
lightguide100stretch,95-Hold,18.900,103.356,33.338,2.360
lightguide100stretch,95-Recover,19.000,103.356,33.338,2.471
lightguide100stretch,96-Stretch,19.010,103.377,33.359,2.415
lightguide100stretch,96-Hold,19.100,103.707,33.689,2.415
lightguide100stretch,96-Recover,19.200,103.707,33.689,2.527
lightguide100stretch,97-Stretch,19.210,103.728,33.71,2.304
lightguide100stretch,97-Hold,19.300,104.058,34.04,2.415
lightguide100stretch,97-Recover,19.400,104.058,34.04,2.527
lightguide100stretch,98-Stretch,19.410,104.079,34.061,2.415
lightguide100stretch,98-Hold,19.500,104.409,34.391,2.415
lightguide100stretch,98-Recover,19.600,104.409,34.391,2.527
lightguide100stretch,99-Stretch,19.610,104.43,34.412,2.471
lightguide100stretch,99-Hold,19.700,104.76,34.742,2.471
lightguide100stretch,99-Recover,19.800,104.76,34.742,2.527
lightguide100stretch,100-Stretch,19.810,104.782,34.764,2.471
lightguide100stretch,100-Hold,19.900,105.112,35.094,2.527
lightguide100stretch,100-Recover,20.000,105.112,35.094,2.527
