SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
lightguide100stretch,1-Stretch,0.000,70.002,0,0.133
lightguide100stretch,1-Hold,0.100,70.351,0.349,0.133
lightguide100stretch,2-Stretch,0.200,70.356,0.354,0.077
lightguide100stretch,2-Hold,0.300,70.702,0.7,0.077
lightguide100stretch,3-Stretch,0.400,70.707,0.705,0.189
lightguide100stretch,3-Hold,0.500,71.053,1.051,0.133
lightguide100stretch,4-Stretch,0.600,71.058,1.056,0.244
lightguide100stretch,4-Hold,0.700,71.404,1.402,0.189
lightguide100stretch,5-Stretch,0.800,71.409,1.407,0.189
lightguide100stretch,5-Hold,0.900,71.755,1.753,0.244
lightguide100stretch,6-Stretch,1.000,71.76,1.758,0.300
lightguide100stretch,6-Hold,1.100,72.106,2.104,0.244
lightguide100stretch,7-Stretch,1.200,72.112,2.11,0.300
lightguide100stretch,7-Hold,1.300,72.457,2.455,0.300
lightguide100stretch,8-Stretch,1.400,72.463,2.461,0.356
lightguide100stretch,8-Hold,1.500,72.809,2.807,0.300
lightguide100stretch,9-Stretch,1.600,72.814,2.812,0.467
lightguide100stretch,9-Hold,1.700,73.16,3.158,0.356
lightguide100stretch,10-Stretch,1.800,73.165,3.163,0.411
lightguide100stretch,10-Hold,1.900,73.511,3.509,0.411
lightguide100stretch,11-Stretch,2.000,73.516,3.514,0.467
lightguide100stretch,11-Hold,2.100,73.862,3.86,0.467
lightguide100stretch,12-Stretch,2.200,73.867,3.865,0.523
lightguide100stretch,12-Hold,2.300,74.213,4.211,0.411
lightguide100stretch,13-Stretch,2.400,74.218,4.216,0.523
lightguide100stretch,13-Hold,2.500,74.564,4.562,0.523
lightguide100stretch,14-Stretch,2.600,74.569,4.567,0.523
lightguide100stretch,14-Hold,2.700,74.915,4.913,0.523
lightguide100stretch,15-Stretch,2.800,74.921,4.919,0.578
lightguide100stretch,15-Hold,2.900,75.266,5.264,0.523
lightguide100stretch,16-Stretch,3.000,75.272,5.27,0.634
lightguide100stretch,16-Hold,3.100,75.618,5.616,0.634
lightguide100stretch,17-Stretch,3.200,75.623,5.621,0.634
lightguide100stretch,17-Hold,3.300,75.969,5.967,0.634
lightguide100stretch,18-Stretch,3.400,75.974,5.972,0.690
lightguide100stretch,18-Hold,3.500,76.32,6.318,0.578
lightguide100stretch,19-Stretch,3.600,76.325,6.323,0.745
lightguide100stretch,19-Hold,3.700,76.671,6.669,0.690
lightguide100stretch,20-Stretch,3.800,76.676,6.674,0.690
lightguide100stretch,20-Hold,3.900,77.022,7.02,0.690
lightguide100stretch,21-Stretch,4.000,77.027,7.025,0.801
lightguide100stretch,21-Hold,4.100,77.373,7.371,0.690
lightguide100stretch,22-Stretch,4.200,77.378,7.376,0.801
lightguide100stretch,22-Hold,4.300,77.724,7.722,0.745
lightguide100stretch,23-Stretch,4.400,77.73,7.728,0.745
lightguide100stretch,23-Hold,4.500,78.075,8.073,0.745
lightguide100stretch,24-Stretch,4.600,78.081,8.079,0.857
lightguide100stretch,24-Hold,4.700,78.426,8.424,0.801
lightguide100stretch,25-Stretch,4.800,78.432,8.43,0.801
lightguide100stretch,25-Hold,4.900,78.778,8.776,0.857
lightguide100stretch,26-Stretch,5.000,78.783,8.781,0.857
lightguide100stretch,26-Hold,5.100,79.129,9.127,0.801
lightguide100stretch,27-Stretch,5.200,79.134,9.132,0.912
lightguide100stretch,27-Hold,5.300,79.48,9.478,0.857
lightguide100stretch,28-Stretch,5.400,79.485,9.483,0.912
lightguide100stretch,28-Hold,5.500,79.831,9.829,0.912
lightguide100stretch,29-Stretch,5.600,79.836,9.834,0.968
lightguide100stretch,29-Hold,5.700,80.182,10.18,0.857
lightguide100stretch,30-Stretch,5.800,80.187,10.185,1.024
lightguide100stretch,30-Hold,5.900,80.533,10.531,0.912
lightguide100stretch,31-Stretch,6.000,80.538,10.536,0.968
lightguide100stretch,31-Hold,6.100,80.884,10.882,0.968
lightguide100stretch,32-Stretch,6.200,80.89,10.888,1.024
lightguide100stretch,32-Hold,6.300,81.235,11.233,0.968
lightguide100stretch,33-Stretch,6.400,81.241,11.239,1.079
