TestTime(mS)	ImageTime	
0	-231
100	-24
200	-24
300	174
400	174
500	391
600	391
700	572
800	572
900	788
1000	788
1100	975
1200	975
1300	1181
1400	1181
1500	1370
1600	1370
1700	1581
1800	1581
1900	1768
2000	1768
2100	1992
2200	1992
2300	2170
2400	2170
2500	2385
2600	2385
2700	2575
2800	2575
2900	2786
3000	2786
3100	2970
3200	2970
3300	3186
3400	3186
3500	3370
3600	3370
3700	3580
3800	3580
3900	3769
4000	3769
4100	3978
4200	3978
4300	3978
4400	3978
4500	4169
4600	4169
4700	4570
4800	4570
4900	4785
5000	4785
5100	4975
5200	4975
5300	5176
5400	5176
5500	5379
5600	5379
5700	5579
5800	5579
5900	5579
6000	5579
6100	5579
6200	5579
6300	5775
6400	5775
6500	6386
6600	6386
6700	6573
6800	6573
6900	6573
7000	6573
7100	6780
7200	6780
7300	7186
7400	7186
7500	7372
7600	7372
7700	7579
7800	7579
7900	7777
8000	7777
8100	7981
8200	7981
8300	8176
8400	8176
8500	8384
8600	8384
8700	8575
8800	8575
8900	8788
9000	8788
9100	8984
9200	8984
9300	8984
9400	8984
9500	9176
9600	9176
9700	9575
9800	9575
9900	9784
10000	9784
10100	9981
10200	9981
10300	10184
10400	10184
10500	10379
10600	10379
10700	10580
10800	10580
10900	10781
11000	10781
11100	10972
11200	10972
11300	11184
11400	11184
11500	11372
11600	11372
11700	11582
11800	11582
11900	11779
12000	11779
12100	11990
12200	11990
12300	12175
12400	12175
12500	12389
12600	12389
12700	12586
12800	12586
12900	12779
13000	12779
13100	12979
13200	12979
13300	13184
13400	13184
13500	13384
13600	13384
13700	13582
13800	13582
13900	13771
14000	13771
14100	13982
14200	13982
14300	14172
14400	14172
14500	14380
14600	14380
14700	14581
14800	14581
14900	14785
15000	14785
15100	14985
15200	14985
15300	15178
15400	15178
15500	15374
15600	15374
15700	15577
15800	15577
15900	15773
16000	15773
16100	15979
16200	15979
16300	16174
16400	16174
16500	16388
16600	16388
16700	16574
16800	16574
16900	16777
17000	16777
17100	16777
17200	16777
17300	16971
17400	16971
17500	17378
17600	17378
17700	17586
17800	17586
17900	17769
18000	17769
18100	17987
18200	17987
18300	18170
18400	18170
18500	18386
18600	18386
18700	18581
18800	18581
18900	18777
19000	18777
19100	18971
19200	18971
19300	19177
19400	19177
19500	19376
19600	19376
19700	19590
19800	19590
19900	19782
20000	19782
