SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
lightguide100stretch,1-Stretch,0.000,70.005,0,0.077
lightguide100stretch,1-Hold,0.100,70.351,0.346,0.022
lightguide100stretch,2-Stretch,0.200,70.359,0.354,-0.145
lightguide100stretch,2-Hold,0.300,70.702,0.697,-0.090
lightguide100stretch,3-Stretch,0.400,70.71,0.705,-0.201
lightguide100stretch,3-Hold,0.500,71.053,1.048,-0.034
lightguide100stretch,4-Stretch,0.600,71.061,1.056,-0.034
lightguide100stretch,4-Hold,0.700,71.404,1.399,0.022
lightguide100stretch,5-Stretch,0.800,71.412,1.407,-0.090
lightguide100stretch,5-Hold,0.900,71.755,1.75,-0.034
lightguide100stretch,6-Stretch,1.000,71.763,1.758,0.022
lightguide100stretch,6-Hold,1.100,72.106,2.101,0.022
lightguide100stretch,7-Stretch,1.200,72.114,2.109,-0.034
lightguide100stretch,7-Hold,1.300,72.457,2.452,0.077
lightguide100stretch,8-Stretch,1.400,72.465,2.46,0.022
lightguide100stretch,8-Hold,1.500,72.809,2.804,0.133
lightguide100stretch,9-Stretch,1.600,72.816,2.811,-0.034
lightguide100stretch,9-Hold,1.700,73.16,3.155,0.077
lightguide100stretch,10-Stretch,1.800,73.168,3.163,0.189
lightguide100stretch,10-Hold,1.900,73.511,3.506,0.189
lightguide100stretch,11-Stretch,2.000,73.519,3.514,0.189
lightguide100stretch,11-Hold,2.100,73.862,3.857,0.189
lightguide100stretch,12-Stretch,2.200,73.87,3.865,0.189
lightguide100stretch,12-Hold,2.300,74.213,4.208,0.244
lightguide100stretch,13-Stretch,2.400,74.221,4.216,0.133
lightguide100stretch,13-Hold,2.500,74.564,4.559,0.300
lightguide100stretch,14-Stretch,2.600,74.572,4.567,0.244
lightguide100stretch,14-Hold,2.700,74.915,4.91,0.300
lightguide100stretch,15-Stretch,2.800,74.923,4.918,0.189
lightguide100stretch,15-Hold,2.900,75.266,5.261,0.300
lightguide100stretch,16-Stretch,3.000,75.274,5.269,0.244
lightguide100stretch,16-Hold,3.100,75.618,5.613,0.411
lightguide100stretch,17-Stretch,3.200,75.625,5.62,0.300
lightguide100stretch,17-Hold,3.300,75.969,5.964,0.356
lightguide100stretch,18-Stretch,3.400,75.977,5.972,0.411
lightguide100stretch,18-Hold,3.500,76.32,6.315,0.356
lightguide100stretch,19-Stretch,3.600,76.328,6.323,0.411
lightguide100stretch,19-Hold,3.700,76.671,6.666,0.467
lightguide100stretch,20-Stretch,3.800,76.679,6.674,0.411
lightguide100stretch,20-Hold,3.900,77.022,7.017,0.467
lightguide100stretch,21-Stretch,4.000,77.03,7.025,0.411
lightguide100stretch,21-Hold,4.100,77.373,7.368,0.467
lightguide100stretch,22-Stretch,4.200,77.381,7.376,0.356
lightguide100stretch,22-Hold,4.300,77.724,7.719,0.523
lightguide100stretch,23-Stretch,4.400,77.732,7.727,0.467
lightguide100stretch,23-Hold,4.500,78.075,8.07,0.523
lightguide100stretch,24-Stretch,4.600,78.083,8.078,0.578
lightguide100stretch,24-Hold,4.700,78.426,8.421,0.578
lightguide100stretch,25-Stretch,4.800,78.434,8.429,0.523
lightguide100stretch,25-Hold,4.900,78.778,8.773,0.634
lightguide100stretch,26-Stretch,5.000,78.786,8.781,0.523
lightguide100stretch,26-Hold,5.100,79.129,9.124,0.578
lightguide100stretch,27-Stretch,5.200,79.137,9.132,0.634
lightguide100stretch,27-Hold,5.300,79.48,9.475,0.634
lightguide100stretch,28-Stretch,5.400,79.488,9.483,0.467
lightguide100stretch,28-Hold,5.500,79.831,9.826,0.690
lightguide100stretch,29-Stretch,5.600,79.839,9.834,0.523
lightguide100stretch,29-Hold,5.700,80.182,10.177,0.690
lightguide100stretch,30-Stretch,5.800,80.19,10.185,0.690
lightguide100stretch,30-Hold,5.900,80.533,10.528,0.690
lightguide100stretch,31-Stretch,6.000,80.541,10.536,0.690
lightguide100stretch,31-Hold,6.100,80.884,10.879,0.745
lightguide100stretch,32-Stretch,6.200,80.892,10.887,0.690
lightguide100stretch,32-Hold,6.300,81.235,11.23,0.745
lightguide100stretch,33-Stretch,6.400,81.243,11.238,0.801
lightguide100stretch,33-Hold,6.500,81.587,11.582,0.745
lightguide100stretch,34-Stretch,6.600,81.594,11.589,0.690
lightguide100stretch,34-Hold,6.700,81.938,11.933,0.857
lightguide100stretch,35-Stretch,6.800,81.946,11.941,0.745
lightguide100stretch,35-Hold,6.900,82.289,12.284,0.801
lightguide100stretch,36-Stretch,7.000,82.297,12.292,0.857
lightguide100stretch,36-Hold,7.100,82.64,12.635,0.857
lightguide100stretch,37-Stretch,7.200,82.648,12.643,0.745
lightguide100stretch,37-Hold,7.300,82.991,12.986,0.912
lightguide100stretch,38-Stretch,7.400,82.999,12.994,0.857
lightguide100stretch,38-Hold,7.500,83.342,13.337,0.857
lightguide100stretch,39-Stretch,7.600,83.35,13.345,0.912
lightguide100stretch,39-Hold,7.700,83.693,13.688,0.912
lightguide100stretch,40-Stretch,7.800,83.701,13.696,0.801
lightguide100stretch,40-Hold,7.900,84.044,14.039,0.968
lightguide100stretch,41-Stretch,8.000,84.052,14.047,0.801
lightguide100stretch,41-Hold,8.100,84.396,14.391,0.912
lightguide100stretch,42-Stretch,8.200,84.403,14.398,0.968
lightguide100stretch,42-Hold,8.300,84.747,14.742,0.968
lightguide100stretch,43-Stretch,8.400,84.755,14.75,0.968
lightguide100stretch,43-Hold,8.500,85.098,15.093,1.024
lightguide100stretch,44-Stretch,8.600,85.106,15.101,1.024
lightguide100stretch,44-Hold,8.700,85.449,15.444,0.968
lightguide100stretch,45-Stretch,8.800,85.457,15.452,0.968
lightguide100stretch,45-Hold,8.900,85.8,15.795,1.079
lightguide100stretch,46-Stretch,9.000,85.808,15.803,1.024
lightguide100stretch,46-Hold,9.100,86.151,16.146,1.079
lightguide100stretch,47-Stretch,9.200,86.159,16.154,0.968
lightguide100stretch,47-Hold,9.300,86.502,16.497,1.079
lightguide100stretch,48-Stretch,9.400,86.51,16.505,1.024
lightguide100stretch,48-Hold,9.500,86.853,16.848,1.135
lightguide100stretch,49-Stretch,9.600,86.861,16.856,1.024
lightguide100stretch,49-Hold,9.700,87.204,17.199,1.135
lightguide100stretch,50-Stretch,9.800,87.212,17.207,1.135
lightguide100stretch,50-Hold,9.900,87.556,17.551,1.079
lightguide100stretch,51-Stretch,10.000,87.564,17.559,1.135
lightguide100stretch,51-Hold,10.100,87.907,17.902,1.135
lightguide100stretch,52-Stretch,10.200,87.915,17.91,1.079
lightguide100stretch,52-Hold,10.300,88.258,18.253,1.191
lightguide100stretch,53-Stretch,10.400,88.266,18.261,1.079
lightguide100stretch,53-Hold,10.500,88.609,18.604,1.135
lightguide100stretch,54-Stretch,10.600,88.617,18.612,1.024
lightguide100stretch,54-Hold,10.700,88.96,18.955,1.246
lightguide100stretch,55-Stretch,10.800,88.968,18.963,1.135
lightguide100stretch,55-Hold,10.900,89.311,19.306,1.246
lightguide100stretch,56-Stretch,11.000,89.319,19.314,1.246
lightguide100stretch,56-Hold,11.100,89.662,19.657,1.191
lightguide100stretch,57-Stretch,11.200,89.67,19.665,1.246
lightguide100stretch,57-Hold,11.300,90.013,20.008,1.246
lightguide100stretch,58-Stretch,11.400,90.021,20.016,1.246
lightguide100stretch,58-Hold,11.500,90.365,20.36,1.302
lightguide100stretch,59-Stretch,11.600,90.372,20.367,1.302
lightguide100stretch,59-Hold,11.700,90.716,20.711,1.246
lightguide100stretch,60-Stretch,11.800,90.724,20.719,1.135
lightguide100stretch,60-Hold,11.900,91.067,21.062,1.358
lightguide100stretch,61-Stretch,12.000,91.075,21.07,1.191
lightguide100stretch,61-Hold,12.100,91.418,21.413,1.358
lightguide100stretch,62-Stretch,12.200,91.426,21.421,1.358
lightguide100stretch,62-Hold,12.300,91.769,21.764,1.302
lightguide100stretch,63-Stretch,12.400,91.777,21.772,1.358
lightguide100stretch,63-Hold,12.500,92.12,22.115,1.413
lightguide100stretch,64-Stretch,12.600,92.128,22.123,1.302
lightguide100stretch,64-Hold,12.700,92.471,22.466,1.413
lightguide100stretch,65-Stretch,12.800,92.479,22.474,1.413
lightguide100stretch,65-Hold,12.900,92.822,22.817,1.358
lightguide100stretch,66-Stretch,13.000,92.83,22.825,1.358
lightguide100stretch,66-Hold,13.100,93.174,23.169,1.413
lightguide100stretch,67-Stretch,13.200,93.181,23.176,1.191
lightguide100stretch,67-Hold,13.300,93.525,23.52,1.413
lightguide100stretch,68-Stretch,13.400,93.533,23.528,1.469
lightguide100stretch,68-Hold,13.500,93.876,23.871,1.413
lightguide100stretch,69-Stretch,13.600,93.884,23.879,1.413
lightguide100stretch,69-Hold,13.700,94.227,24.222,1.525
lightguide100stretch,70-Stretch,13.800,94.235,24.23,1.413
lightguide100stretch,70-Hold,13.900,94.578,24.573,1.469
lightguide100stretch,71-Stretch,14.000,94.586,24.581,1.525
lightguide100stretch,71-Hold,14.100,94.929,24.924,1.469
lightguide100stretch,72-Stretch,14.200,94.937,24.932,1.469
lightguide100stretch,72-Hold,14.300,95.28,25.275,1.525
lightguide100stretch,73-Stretch,14.400,95.288,25.283,1.302
lightguide100stretch,73-Hold,14.500,95.631,25.626,1.525
lightguide100stretch,74-Stretch,14.600,95.639,25.634,1.580
lightguide100stretch,74-Hold,14.700,95.982,25.977,1.469
lightguide100stretch,75-Stretch,14.800,95.99,25.985,1.580
lightguide100stretch,75-Hold,14.900,96.334,26.329,1.580
lightguide100stretch,76-Stretch,15.000,96.342,26.337,1.469
lightguide100stretch,76-Hold,15.100,96.685,26.68,1.580
lightguide100stretch,77-Stretch,15.200,96.693,26.688,1.525
lightguide100stretch,77-Hold,15.300,97.036,27.031,1.580
lightguide100stretch,78-Stretch,15.400,97.044,27.039,1.525
lightguide100stretch,78-Hold,15.500,97.387,27.382,1.636
lightguide100stretch,79-Stretch,15.600,97.395,27.39,1.469
lightguide100stretch,79-Hold,15.700,97.738,27.733,1.580
lightguide100stretch,80-Stretch,15.800,97.746,27.741,1.580
lightguide100stretch,80-Hold,15.900,98.089,28.084,1.580
lightguide100stretch,81-Stretch,16.000,98.097,28.092,1.580
lightguide100stretch,81-Hold,16.100,98.44,28.435,1.636
lightguide100stretch,82-Stretch,16.200,98.448,28.443,1.636
lightguide100stretch,82-Hold,16.300,98.791,28.786,1.636
