TestTime(mS)	ImageTime	
0	-158
100	32
200	32
300	32
400	243
500	243
600	429
700	429
800	624
900	833
1000	833
1100	833
1200	1039
1300	1233
1400	1233
1500	1233
1600	1422
1700	1422
1800	1635
1900	1635
2000	1825
2100	1825
2200	2030
2300	2030
2400	2224
2500	2224
2600	2438
2700	2438
2800	2637
2900	2637
3000	2828
3100	2828
3200	3037
3300	3037
3400	3241
3500	3241
3600	3436
3700	3436
3800	3631
3900	3631
4000	3631
4100	3631
4200	3631
4300	3631
4400	3841
4500	3841
4600	4429
4700	4429
4800	4636
4900	4636
5000	4829
5100	4829
5200	5023
5300	5023
5400	5023
5500	5023
5600	5229
5700	5229
5800	5631
5900	5631
6000	5631
6100	5631
6200	5822
6300	5822
6400	6245
6500	6245
6600	6431
6700	6431
6800	6633
6900	6633
7000	6831
7100	6831
7200	7023
7300	7023
7400	7235
7500	7235
7600	7428
7700	7428
7800	7632
7900	7632
8000	7824
8100	7824
8200	8033
8300	8033
8400	8227
8500	8227
8600	8434
8700	8434
8800	8628
8900	8628
9000	8828
9100	8828
9200	9031
9300	9031
9400	9031
9500	9031
9600	9232
9700	9232
9800	9629
9900	9629
10000	9824
10100	9824
10200	10046
10300	10046
10400	10222
10500	10222
10600	10432
10700	10432
10800	10636
10900	10831
11000	10831
11100	10831
11200	11022
11300	11231
11400	11231
11500	11231
11600	11432
11700	11432
11800	11635
11900	11635
12000	11822
12100	11822
12200	12027
12300	12027
12400	12224
12500	12224
12600	12430
12700	12430
12800	12626
12900	12626
13000	12829
13100	12829
13200	13029
13300	13029
13400	13232
13500	13232
13600	13424
13700	13424
13800	13640
13900	13640
14000	13822
14100	13822
14200	14030
14300	14030
14400	14226
14500	14226
14600	14435
14700	14435
14800	14625
14900	14625
15000	14831
15100	14831
15200	15025
15300	15025
15400	15229
15500	15229
15600	15426
15700	15426
15800	15632
15900	15632
16000	15824
16100	15824
16200	16031
16300	16031
16400	16230
16500	16230
16600	16432
16700	16432
16800	16642
16900	16642
17000	16832
17100	16832
17200	17026
17300	17026
17400	17233
17500	17233
17600	17425
17700	17425
17800	17633
17900	17633
18000	17852
18100	17852
18200	17852
18300	17852
18400	18048
18500	18048
18600	18048
18700	18048
18800	18048
18900	18048
19000	18429
19100	18429
19200	18429
19300	18429
19400	19023
19500	19023
19600	19426
19700	19426
19800	19426
19900	19426
20000	19638
