SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
lightguide100stretch,1-Stretch,0.000,70.01,0,0.133
lightguide100stretch,1-Hold,0.100,70.351,0.341,0.133
lightguide100stretch,2-Stretch,0.200,70.364,0.354,0.189
lightguide100stretch,2-Hold,0.300,70.702,0.692,0.189
lightguide100stretch,3-Stretch,0.400,70.715,0.705,0.244
lightguide100stretch,3-Hold,0.500,71.053,1.043,0.189
lightguide100stretch,4-Stretch,0.600,71.066,1.056,0.244
lightguide100stretch,4-Hold,0.700,71.404,1.394,0.300
lightguide100stretch,5-Stretch,0.800,71.417,1.407,0.244
lightguide100stretch,5-Hold,0.900,71.755,1.745,0.300
lightguide100stretch,6-Stretch,1.000,71.768,1.758,0.356
lightguide100stretch,6-Hold,1.100,72.106,2.096,0.356
lightguide100stretch,7-Stretch,1.200,72.12,2.11,0.411
lightguide100stretch,7-Hold,1.300,72.457,2.447,0.411
lightguide100stretch,8-Stretch,1.400,72.471,2.461,0.467
lightguide100stretch,8-Hold,1.500,72.809,2.799,0.356
lightguide100stretch,9-Stretch,1.600,72.822,2.812,0.467
lightguide100stretch,9-Hold,1.700,73.16,3.15,0.411
lightguide100stretch,10-Stretch,1.800,73.173,3.163,0.467
lightguide100stretch,10-Hold,1.900,73.511,3.501,0.523
lightguide100stretch,11-Stretch,2.000,73.524,3.514,0.467
lightguide100stretch,11-Hold,2.100,73.862,3.852,0.467
lightguide100stretch,12-Stretch,2.200,73.875,3.865,0.578
lightguide100stretch,12-Hold,2.300,74.213,4.203,0.523
lightguide100stretch,13-Stretch,2.400,74.226,4.216,0.578
lightguide100stretch,13-Hold,2.500,74.564,4.554,0.634
lightguide100stretch,14-Stretch,2.600,74.577,4.567,0.690
lightguide100stretch,14-Hold,2.700,74.915,4.905,0.578
lightguide100stretch,15-Stretch,2.800,74.928,4.918,0.690
lightguide100stretch,15-Hold,2.900,75.266,5.256,0.578
lightguide100stretch,16-Stretch,3.000,75.28,5.27,0.690
lightguide100stretch,16-Hold,3.100,75.618,5.608,0.690
lightguide100stretch,17-Stretch,3.200,75.631,5.621,0.634
lightguide100stretch,17-Hold,3.300,75.969,5.959,0.690
lightguide100stretch,18-Stretch,3.400,75.982,5.972,0.801
lightguide100stretch,18-Hold,3.500,76.32,6.31,0.690
lightguide100stretch,19-Stretch,3.600,76.333,6.323,0.745
